"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023606_881";"0.0";1.0;66.0;"Myonat";0.99;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023606_881";0.1;2.6;24.0;"noise";0.7;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023636_584";"0.0";5.0;46.0;"Myonat";0.99;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023636_584";0.1;4.8;39.0;"noise";0.61;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023641_584";"0.0";0.2;46.0;"Myonat";0.98;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023641_584";"0.0";0.2;37.0;"noise";0.58;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_024904_000";0.4;1.8;10.0;"noise";0.91;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_031904_000";1.3;1.6;12.0;"noise";0.24;"Phogri";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_041904_000";0.4;1.1;12.0;"noise";0.86;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_043035_565";"0.0";3.7;32.0;"noise";0.9;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_043039_395";"0.0";2.0;30.0;"noise";0.82;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_043042_191";"0.0";2.4;30.0;"noise";0.91;"";"";"";"";""
